date,ohl_interest,match_id
2022-07-01,2.43,
2022-07-02,4.25,
2022-07-03,4.56,
2022-07-04,3.04,
2022-07-05,3.65,
2022-07-06,3.65,
2022-07-07,2.73,
2022-07-08,2.13,
2022-07-09,4.25,
2022-07-10,3.65,
2022-07-11,4.25,
2022-07-12,3.04,
2022-07-13,4.86,
2022-07-14,3.65,
2022-07-15,3.95,
2022-07-16,15.8,
2022-07-17,3.34,
2022-07-18,4.25,
2022-07-19,3.34,
2022-07-20,3.04,
2022-07-21,3.95,
2022-07-22,4.56,
2022-07-23,12.46,d0te6swsv2y99ywgugc2utbmc
2022-07-24,3.34,
2022-07-25,3.34,
2022-07-26,4.86,
2022-07-27,3.04,
2022-07-28,3.95,
2022-07-29,5.17,
2022-07-30,17.32,d256yo3eng04m0fu7b4sl7wno
2022-07-31,9.42,
2022-08-01,3.95,
2022-08-02,11.55,
2022-08-03,3.95,
2022-08-04,4.25,
2022-08-05,3.04,
2022-08-06,4.25,
2022-08-07,21.27,d3pqkck2grzx98jg4sofhp8us
2022-08-08,6.99,
2022-08-09,4.56,
2022-08-10,3.95,
2022-08-11,4.86,
2022-08-12,6.38,
2022-08-13,6.68,
2022-08-14,30.38,d4mn5ksbxuvnaww4pmommxhqs
2022-08-15,6.08,
2022-08-16,3.04,
2022-08-17,2.13,
2022-08-18,3.04,
2022-08-19,4.86,
2022-08-20,7.29,
2022-08-21,24.61,d5htdqmc8w72upys41sfxhfkk
2022-08-22,9.42,
2022-08-23,5.47,
2022-08-24,3.95,
2022-08-25,2.73,
2022-08-26,5.77,
2022-08-27,22.18,d65hmi7sq03yzr5he1k7ypus4
2022-08-28,8.51,
2022-08-29,5.47,
2022-08-30,4.66,
2022-08-31,4.44,
2022-09-01,3.99,
2022-09-02,8.65,
2022-09-03,5.55,
2022-09-04,25.74,d700mwu32x772ns4veqq32yhg
2022-09-05,6.44,
2022-09-06,3.11,
2022-09-07,3.55,
2022-09-08,3.77,
2022-09-09,2.88,
2022-09-10,19.08,d80mkemezkz16bqh6lbn8tlhw
2022-09-11,9.76,
2022-09-12,3.99,
2022-09-13,2.66,
2022-09-14,3.33,
2022-09-15,4.22,
2022-09-16,3.33,
2022-09-17,11.98,d9pbl588401et3engzzakcfmc
2022-09-18,5.77,
2022-09-19,3.77,
