match_id,match_date,kickoff_time_local,match_date_utc,kickoff_time_utc,matchday,competition_id,competition_name,season,season_id,stage,home_team_id,home_team,home_team_code,away_team_id,away_team,away_team_code,venue,winner,result_home,goals_home_ht,goals_away_ht,goals_home_ft,goals_away_ft,is_home_match,last_result_vs_opponent,tickets_scanned
d0te6swsv2y99ywgugc2utbmc,2022-07-23,18:15:00,2022-07-23Z,16:15:00Z,1.0,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,1uk609mhtsfhokhaewjapb26,Kortrijk,KVK,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,Guldensporenstadion,away,L,0,0,0,2,false,L 1-2,
d256yo3eng04m0fu7b4sl7wno,2022-07-30,18:15:00,2022-07-30Z,16:15:00Z,2.0,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,2nhn3ikl1ciq34w3hcp883d6p,Westerlo,WES,King Power at Den Dreef Stadion,home,W,1,0,2,0,true,,5565
d3pqkck2grzx98jg4sofhp8us,2022-08-07,21:00:00,2022-08-07Z,19:00:00Z,3.0,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,7zibyotq1x1hq6pmgibhr0e6s,Antwerp,ANT,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,Bosuilstadion,home,W,2,1,4,2,false,L 0-1,
d4mn5ksbxuvnaww4pmommxhqs,2022-08-14,18:30:00,2022-08-14Z,16:30:00Z,4.0,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,1oyb7oym5nwzny8vxf03szd2h,Club Brugge,CLU,King Power at Den Dreef Stadion,away,L,0,2,0,3,true,L 1-4,7440
d5htdqmc8w72upys41sfxhfkk,2022-08-21,18:30:00,2022-08-21Z,16:30:00Z,5.0,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,5z1b7fuvpqe6vnigvopomvecu,Standard Liège,STA,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,Stade Maurice Dufrasne,away,L,0,2,1,3,false,W 2-1,
d65hmi7sq03yzr5he1k7ypus4,2022-08-27,18:15:00,2022-08-27Z,16:15:00Z,6.0,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,2b57rbw94i9ohnbch52owvqtq,KV Oostende,KVO,King Power at Den Dreef Stadion,home,W,0,1,2,1,true,W 3-1,4489
d700mwu32x772ns4veqq32yhg,2022-09-04,13:30:00,2022-09-04Z,11:30:00Z,7.0,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht,AND,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,Lotto Park,draw,D,0,1,2,2,false,D 0-0,
d80mkemezkz16bqh6lbn8tlhw,2022-09-10,20:45:00,2022-09-10Z,18:45:00Z,8.0,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,920raeoumft3q2wmvc296uceo,Sporting Charleroi,CHA,King Power at Den Dreef Stadion,home,W,1,1,3,2,true,W 3-0,4508
d9pbl588401et3engzzakcfmc,2022-09-17,16:00:00,2022-09-17Z,14:00:00Z,9.0,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,b7jmo07lqav0wfe2mtlzyspak,Mechelen,KVM,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,Achter De Kazerne,draw,D,0,0,0,0,false,L 0-2,
dak40etbhbqsr1nxyt50qcg0k,2022-10-01,16:00:00,2022-10-01Z,14:00:00Z,10.0,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,STG,King Power at Den Dreef Stadion,away,L,0,2,0,3,true,L 1-4,6290
