match_id,match_date,weather_temp_max_c,weather_temp_min_c,weather_temp_mean_c,weather_precipitation_mm,weather_rain_mm,weather_snowfall_cm,weather_windspeed_max_kmh,weather_sunshine_hours,weather_code,weather_temp_deviation,weather_score,weather_description,has_promotion,promo_tickets_total,promo_valentijn_tickets,promo_1plus1_tickets,promo_bring_a_friend_tickets,promo_free_subscriber_tickets,promo_bondskaarten_tickets,promo_discount_tickets,promotion_names,weekday,weekday_name,is_weekend,is_midweek,academic_year,academic_week,is_public_holiday,public_holiday_name,is_school_holiday_flanders,school_holiday_name,pct_free_tickets,campaign_motto
d0te6swsv2y99ywgugc2utbmc,2022-07-23,24.7,12.9,19.8,0.1,0.1,0.0,6.9,15.0,51,0.9,-0.94,Motregen,false,0,0,0,0,0,0,0,,5,Saturday,true,false,2021/2022,47,false,,true,Summer Holiday,0.0,
d256yo3eng04m0fu7b4sl7wno,2022-07-30,25.8,12.9,19.8,0.0,0.0,0.0,10.2,10.3,3,0.9,0.09,Bewolkt,false,0,0,0,0,0,0,0,,5,Saturday,true,false,2021/2022,48,false,,true,Summer Holiday,13.9,
d3pqkck2grzx98jg4sofhp8us,2022-08-07,24.4,10.8,18.1,0.0,0.0,0.0,14.5,14.2,3,-1.4,-0.14,Bewolkt,false,0,0,0,0,0,0,0,,6,Sunday,true,false,2021/2022,49,false,,true,Summer Holiday,0.0,
d4mn5ksbxuvnaww4pmommxhqs,2022-08-14,32.2,17.3,25.4,0.0,0.0,0.0,16.9,11.1,3,5.9,0.59,Bewolkt,false,0,0,0,0,0,0,0,,6,Sunday,true,false,2021/2022,50,false,,true,Summer Holiday,8.3,
d5htdqmc8w72upys41sfxhfkk,2022-08-21,23.4,13.3,18.7,0.0,0.0,0.0,13.4,11.5,3,-0.8,-0.08,Bewolkt,false,0,0,0,0,0,0,0,,6,Sunday,true,false,2021/2022,51,false,,true,Summer Holiday,0.0,
d65hmi7sq03yzr5he1k7ypus4,2022-08-27,21.0,15.9,18.7,0.0,0.0,0.0,13.7,3.9,3,-0.8,-0.08,Bewolkt,false,0,0,0,0,0,0,0,,5,Saturday,true,false,2021/2022,52,false,,true,Summer Holiday,14.8,
d700mwu32x772ns4veqq32yhg,2022-09-04,26.8,16.2,21.5,0.0,0.0,0.0,19.7,12.9,3,5.2,0.52,Bewolkt,false,0,0,0,0,0,0,0,,6,Sunday,true,false,2022/2023,1,false,,false,,0.0,
d80mkemezkz16bqh6lbn8tlhw,2022-09-10,18.9,13.6,15.7,8.6,8.6,0.0,23.5,4.1,61,-0.6,-3.64,Regen,false,0,0,0,0,0,0,0,,5,Saturday,true,false,2022/2023,2,false,,false,,68.7,
d9pbl588401et3engzzakcfmc,2022-09-17,13.6,9.4,11.1,5.5,5.5,0.0,22.2,8.8,53,-5.2,-3.17,Motregen,false,0,0,0,0,0,0,0,,5,Saturday,true,false,2022/2023,3,false,,false,,0.0,
dak40etbhbqsr1nxyt50qcg0k,2022-10-01,17.8,10.9,14.2,9.8,9.8,0.0,34.5,8.5,61,1.1,-3.83,Regen,false,0,0,0,0,0,0,0,,5,Saturday,true,false,2022/2023,5,false,,false,,7.5,
dbqant2dfdnu9vplc4eqpn7dg,2022-10-08,15.1,7.0,12.0,0.5,0.5,0.0,19.5,11.0,51,-1.1,-1.26,Motregen,false,0,0,0,0,0,0,0,,5,Saturday,true,false,2022/2023,6,false,,false,,0.0,
dcl81t8chgq07o8rw8orj5no4,2022-10-15,17.8,10.9,14.1,2.7,2.7,0.0,24.1,3.4,61,1.0,-1.71,Regen,false,0,0,0,0,0,0,0,,5,Saturday,true,false,2022/2023,7,false,,false,,7.3,
de8wkd0re6d3g1j29g1ijwmqc,2022-10-18,17.8,10.1,14.5,5.2,5.2,0.0,9.6,9.2,61,1.4,-2.42,Regen,false,0,0,0,0,0,0,0,,1,Tuesday,false,true,2022/2023,7,false,,false,,0.0,
df8f3q4scni4n2rc4kvtfyvbo,2022-10-22,17.9,12.5,14.9,0.0,0.0,0.0,22.1,9.4,3,1.8,0.18,Bewolkt,false,0,0,0,0,0,0,0,,5,Saturday,true,false,2022/2023,8,false,,false,,0.0,
dfui3aovgvfccasonp6w5ajh0,2022-10-30,20.6,12.9,16.1,0.0,0.0,0.0,11.3,6.1,3,3.0,0.3,Bewolkt,false,0,0,0,0,0,0,0,,6,Sunday,true,false,2022/2023,9,false,,false,,15.1,
dh2jinzfxkjr5uq2xcw047dw4,2022-11-05,11.2,5.2,8.2,0.2,0.2,0.0,21.1,7.0,51,0.2,-1.04,Motregen,false,0,0,0,0,0,0,0,,5,Saturday,true,false,2022/2023,10,false,,true,Autumn Holiday,0.0,
di0x0as1g324k0hoea1o5vvh0,2022-11-11,13.6,7.9,9.8,0.0,0.0,0.0,19.0,8.4,3,1.8,0.18,Bewolkt,false,0,0,0,0,0,0,0,,4,Friday,false,false,2022/2023,11,true,Armistice Day,false,,49.3,
disu0asmlgxkbrbsihhfkin84,2022-12-26,11.4,3.4,7.5,2.4,2.4,0.0,30.1,3.2,55,2.1,-1.51,Motregen,false,0,0,0,0,0,0,0,,0,Monday,false,false,2022/2023,17,true,St. Stephen's Day,true,Christmas Holiday,0.0,
dkbsomyigazbberxvdmjq7wgk,2023-01-08,9.9,7.8,8.8,2.0,2.0,0.0,25.6,6.5,55,5.2,-1.08,Motregen,true,111,0,111,0,0,0,0,"1+1 actie halfseizoensabo, 1+1 actie",6,Sunday,true,false,2022/2023,19,false,,true,Christmas Holiday,7.3,
dlnn04m3bhefdkjof0qemprmc,2023-01-13,9.8,6.5,8.0,1.9,1.9,0.0,34.8,7.7,55,4.4,-1.13,Motregen,false,0,0,0,0,0,0,0,,4,Friday,false,false,2022/2023,20,false,,false,,0.0,
