match_id,match_date,kickoff_time_local,season,stage,competition_name,opponent,period_id,time_min,time_min_sec,is_ohl_goal,scorer_name,assist_player_name,goal_type,home_score_after,away_score_after,var_reviewed,opta_event_id
d0te6swsv2y99ywgugc2utbmc,2022-07-23,18:15:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Kortrijk,2,72,71:57,true,M. Maertens,L. Patris,Regular,0,1,,2438482395
d0te6swsv2y99ywgugc2utbmc,2022-07-23,18:15:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Kortrijk,2,93,92:03,true,Mousa Tamari,L. Patris,Regular,0,2,,2438491703
d256yo3eng04m0fu7b4sl7wno,2022-07-30,18:15:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Westerlo,1,13,12:35,true,J. Þorsteinsson,,Regular,1,0,,2440388221
d256yo3eng04m0fu7b4sl7wno,2022-07-30,18:15:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Westerlo,2,77,76:10,true,R. Holzhauser,,Penalty,2,0,,2440445759
d3pqkck2grzx98jg4sofhp8us,2022-08-07,21:00:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Antwerp,1,27,26:04,true,N. Nsingi,L. Patris,Regular,0,1,,2443561741
d3pqkck2grzx98jg4sofhp8us,2022-08-07,21:00:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Antwerp,1,38,37:39,false,R. Nainggolan,K. Miyoshi,Regular,1,1,,2443570573
d3pqkck2grzx98jg4sofhp8us,2022-08-07,21:00:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Antwerp,1,40,39:43,false,M. Frey,R. De Laet,Regular,2,1,,2443572115
d3pqkck2grzx98jg4sofhp8us,2022-08-07,21:00:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Antwerp,2,55,54:25,true,L. Patris,R. Holzhauser,Regular,2,2,,2443590999
d3pqkck2grzx98jg4sofhp8us,2022-08-07,21:00:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Antwerp,2,71,70:59,false,M. Balikwisha,P. Gerkens,Regular,3,2,yes,2443603257
d3pqkck2grzx98jg4sofhp8us,2022-08-07,21:00:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Antwerp,2,82,81:08,false,M. Balikwisha,A. Yusuf,Regular,4,2,,2443609081
d4mn5ksbxuvnaww4pmommxhqs,2022-08-14,18:30:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Club Brugge,1,33,32:59,false,C. Nielsen,,Regular,0,1,,2446290727
d4mn5ksbxuvnaww4pmommxhqs,2022-08-14,18:30:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Club Brugge,1,42,41:42,false,Ferran Jutglà,K. Sowah,Regular,0,2,,2446297741
d4mn5ksbxuvnaww4pmommxhqs,2022-08-14,18:30:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Club Brugge,2,53,52:57,false,N. Lang,,Penalty,0,3,,2446322447
d5htdqmc8w72upys41sfxhfkk,2022-08-21,18:30:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Standard Liège,1,34,33:59,true,J. Þorsteinsson,M. Maertens,Regular,0,1,,2449438615
d5htdqmc8w72upys41sfxhfkk,2022-08-21,18:30:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Standard Liège,1,45,44:36,true,N. Nsingi,L. Patris,Regular,0,2,,2449447999
d5htdqmc8w72upys41sfxhfkk,2022-08-21,18:30:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Standard Liège,2,75,74:02,true,Mousa Tamari,,Regular,0,3,,2449476553
d5htdqmc8w72upys41sfxhfkk,2022-08-21,18:30:00,2022/2023,Regular Season,Belgian Jupiler Pro League,Standard Liège,2,91,90:57,false,R. Emond,,Regular,1,3,,2449485159
d65hmi7sq03yzr5he1k7ypus4,2022-08-27,18:15:00,2022/2023,Regular Season,Belgian Jupiler Pro League,KV Oostende,1,5,4:31,false,F. Hornby,,Regular,0,1,,2451703405
